,District,Type,Building Classification,Total Units,Gross Income per SqFt,Expense per SqFt,Net Operating Income,Market Value per SqFt
2883,Manhattan,Cooperative,D4-ELEVATOR,242,13.33,5.99,1656396,48.71
2884,Manhattan,Cooperative,D4-ELEVATOR,60,11.5,5.48,455588,38.62
2885,Manhattan,Cooperative,C6-WALK-UP,12,13.38,6.75,87457,43.97
2886,Manhattan,Cooperative,D4-ELEVATOR,42,12.8,6.85,352216,39.73
2887,Manhattan,Cooperative,C6-WALK-UP,14,13.55,5.8,98038,50.83
2888,Manhattan,Cooperative,C6-WALK-UP,14,13.55,5.8,98038,50.83
2889,Manhattan,Cooperative,D4-ELEVATOR,25,11.35,6.17,115120,33.3
2890,Manhattan,Cooperative,C6-WALK-UP,14,13.55,5.8,29969,51.2
2891,Manhattan,Cooperative,D4-ELEVATOR,32,11.53,5.53,199320,38.47
2892,Manhattan,Cooperative,D4-ELEVATOR,37,10.32,5.85,185326,27.81
2893,Manhattan,Cooperative,C6-WALK-UP,14,13.55,5.8,86916,47.7
2894,Manhattan,Cooperative,D4-ELEVATOR,29,10.81,5.2,248343,31.31
2895,Manhattan,Cooperative,C6-WALK-UP,20,11.35,5.85,122210,35.37
2896,Manhattan,Cooperative,C6-WALK-UP,20,10.28,5.28,86900,31.13
2897,Manhattan,Cooperative,C6-WALK-UP,20,10.87,5.68,90203,32.11
2898,Manhattan,Cooperative,C6-WALK-UP,20,10.87,5.68,92875,32.13
2899,Manhattan,Cooperative,C6-WALK-UP,36,11.35,5.85,96250,27.94
2900,Manhattan,Cooperative,D4-ELEVATOR,12,12.34,6.53,108066,36.83
2901,Manhattan,Cooperative,C6-WALK-UP,20,11.69,6.8,85991,31.28
2902,Manhattan,Cooperative,C6-WALK-UP,15,11.39,6.45,62442,31.72
2903,Manhattan,Cooperative,C6-WALK-UP,15,11.39,6.45,62442,31.72
2904,Manhattan,Cooperative,D4-ELEVATOR,42,10.47,5.75,254804,29.32
2905,Manhattan,Cooperative,C6-WALK-UP,30,13.14,5.29,163814,41.31
2906,Manhattan,Cooperative,D4-ELEVATOR,42,11.35,5.97,224357,34.6
2907,Manhattan,Cooperative,C6-WALK-UP,20,11.07,5.58,94516,30.32
2908,Manhattan,Cooperative,C6-WALK-UP,16,13.55,5.8,98774,50.84
2909,Manhattan,Cooperative,C6-WALK-UP,24,13.14,5.29,174835,47.68
2910,Manhattan,Cooperative,C6-WALK-UP,24,12.28,6.37,116202,37.48
2911,Manhattan,Cooperative,C6-WALK-UP,15,12.29,4.34,104901,50.4
2912,Manhattan,Cooperative,C6-WALK-UP,12,13.33,5.14,100491,54.36
2913,Manhattan,Cooperative,D4-ELEVATOR,24,11.64,4.99,149745,41.34
2914,Manhattan,Cooperative,C6-WALK-UP,31,13.55,5.8,188131,47.7
2915,Manhattan,Cooperative,D4-ELEVATOR,17,11.35,5.97,104372,34.59
2916,Manhattan,Cooperative,D4-ELEVATOR,12,13.4,6.62,121105,44.96
2917,Manhattan,Cooperative,D4-ELEVATOR,24,13.4,6.62,200146,41.36
2918,Manhattan,Cooperative,D4-ELEVATOR,24,13.4,6.62,200146,30.32
2919,Manhattan,Cooperative,D4-ELEVATOR,24,13.4,6.62,200146,41.36
2920,Manhattan,Cooperative,D4-ELEVATOR,31,11.35,6.17,173276,33.33
2921,Manhattan,Cooperative,D4-ELEVATOR,40,12.94,6.36,335488,43.87
2922,Manhattan,Cooperative,C6-WALK-UP,20,10.28,5.28,84750,31.15
2923,Manhattan,Cooperative,C6-WALK-UP,26,13.55,5.8,97418,50.84
2924,Manhattan,Cooperative,C6-WALK-UP,18,13.55,5.8,94860,50.82
2925,Manhattan,Cooperative,D4-ELEVATOR,35,14.91,6.7,258040,38.18
2926,Manhattan,Cooperative,D4-ELEVATOR,30,13.4,6.62,288340,44.44
2927,Manhattan,Cooperative,C6-WALK-UP,11,13.55,5.8,97534,50.85
2928,Manhattan,Cooperative,C6-WALK-UP,30,11.35,5.85,114328,35.36
2929,Manhattan,Cooperative,C6-WALK-UP,30,11.35,5.85,114328,35.36
2930,Manhattan,Cooperative,C6-WALK-UP,14,9.6,5.17,53337,26.25
2931,Manhattan,Cooperative,C6-WALK-UP,19,9.91,5.35,61720,26.97
2932,Manhattan,Cooperative,C6-WALK-UP,20,9.91,5.35,61720,26.97
2933,Manhattan,Cooperative,D4-ELEVATOR,33,11.64,4.99,211802,42.61
2934,Manhattan,Cooperative,C6-WALK-UP,24,9.91,5.35,79116,26.97
2935,Manhattan,Cooperative,C6-WALK-UP,15,10.02,5.31,58922,29.42
2936,Manhattan,Cooperative,C6-WALK-UP,12,10.02,5.31,68295,29.38
2937,Manhattan,Cooperative,C6-WALK-UP,24,10.28,5.28,82380,31.14
2938,Manhattan,Cooperative,C6-WALK-UP,24,10.28,5.28,75420,27.98
2939,Manhattan,Cooperative,C6-WALK-UP,20,12.23,5.86,59941,40.38
2940,Manhattan,Cooperative,C6-WALK-UP,14,9.75,5.33,55626,26.14
2941,Manhattan,Cooperative,C6-WALK-UP,15,9.75,5.33,55626,26.14
2942,Manhattan,Cooperative,C6-WALK-UP,21,11.24,5.62,63029,36.2
2943,Manhattan,Cooperative,C6-WALK-UP,24,10.28,5.28,75360,27.93
2944,Manhattan,Cooperative,D4-ELEVATOR,32,13.99,6.92,210333,46.52
2945,Manhattan,Cooperative,C6-WALK-UP,18,10.76,5.55,83464,28.03
2946,Manhattan,Cooperative,D4-ELEVATOR,770,11.5,5.48,2412816,35.14
2947,Manhattan,Cooperative,C6-WALK-UP,20,10.76,5.55,90758,32.26
2948,Manhattan,Cooperative,D4-ELEVATOR,51,11.5,5.48,404869,38.63
2949,Manhattan,Cooperative,D4-ELEVATOR,56,12.23,5.5,353608,42.71
2950,Manhattan,Cooperative,D4-ELEVATOR,52,13.96,7.12,466215,36.53
2951,Manhattan,Cooperative,C6-WALK-UP,72,14.48,6.46,274524,55.48
2952,Manhattan,Cooperative,C6-WALK-UP,23,14.61,6.48,176462,56.16
2953,Manhattan,Cooperative,C6-WALK-UP,30,13.02,5.83,143987,38.5
2954,Manhattan,Cooperative,C6-WALK-UP,24,11.37,5.66,99730,32.63
2955,Manhattan,Cooperative,C6-WALK-UP,24,11.37,5.66,99730,32.63
2956,Manhattan,Cooperative,C6-WALK-UP,15,11.37,4.92,98040,41.45
2957,Manhattan,Cooperative,C6-WALK-UP,20,11.37,4.92,98988,34.99
2958,Manhattan,Cooperative,C6-WALK-UP,20,11.36,6.39,83471,31.97
2959,Manhattan,Cooperative,C6-WALK-UP,20,11.37,4.92,124292,41.46
2960,Manhattan,Cooperative,D4-ELEVATOR,40,12.93,7.0,249060,39.55
2961,Manhattan,Cooperative,C6-WALK-UP,35,13.02,5.83,216664,32.62
2962,Manhattan,Cooperative,C6-WALK-UP,20,11.37,5.66,75829,36.75
2963,Manhattan,Cooperative,C6-WALK-UP,30,15.35,6.08,197173,55.85
2964,Manhattan,Cooperative,D4-ELEVATOR,47,8.93,4.96,172171,23.68
2965,Manhattan,Cooperative,D4-ELEVATOR,28,10.32,5.85,105215,27.83
2966,Manhattan,Cooperative,C6-WALK-UP,20,14.07,5.13,154930,47.66
2967,Manhattan,Cooperative,C6-WALK-UP,20,13.71,6.51,110664,47.56
2968,Manhattan,Cooperative,C6-WALK-UP,20,12.77,6.07,102979,44.76
2969,Manhattan,Cooperative,C6-WALK-UP,20,12.77,6.07,102979,35.0
2970,Manhattan,Cooperative,C6-WALK-UP,20,12.77,6.07,101673,44.74
2971,Manhattan,Cooperative,C6-WALK-UP,20,12.77,6.07,101673,44.74
2972,Manhattan,Cooperative,C6-WALK-UP,20,12.77,6.07,101673,44.74
2973,Manhattan,Cooperative,C6-WALK-UP,20,12.77,6.07,101673,44.74
2974,Manhattan,Cooperative,C6-WALK-UP,36,13.02,5.83,191613,47.92
2975,Manhattan,Cooperative,D4-ELEVATOR,38,11.35,5.97,259370,32.17
2976,Manhattan,Cooperative,D4-ELEVATOR,64,14.05,5.63,708139,45.39
2977,Manhattan,Cooperative,C6-WALK-UP,25,13.71,6.51,129636,44.49
2978,Manhattan,Cooperative,C6-WALK-UP,20,11.37,5.66,95871,36.69
2979,Manhattan,Cooperative,C6-WALK-UP,18,11.37,5.66,92930,36.74
2980,Manhattan,Cooperative,C6-WALK-UP,30,13.02,5.83,168548,38.48
2981,Manhattan,Cooperative,C6-WALK-UP,30,13.06,6.24,167943,45.69
2982,Manhattan,Cooperative,D4-ELEVATOR,202,12.96,5.12,2555903,52.27
2983,Manhattan,Cooperative,D4-ELEVATOR,29,11.64,4.99,297534,41.24
2984,Manhattan,Cooperative,D4-ELEVATOR,80,14.42,6.63,1307326,47.73
2985,Manhattan,Cooperative,D4-ELEVATOR,434,13.4,6.62,4380179,44.96
2986,Manhattan,Cooperative,D4-ELEVATOR,244,14.16,6.68,2382418,51.88
2987,Manhattan,Cooperative,D4-ELEVATOR,31,12.52,5.81,177144,44.96
2988,Manhattan,Cooperative,D4-ELEVATOR,37,9.08,4.47,345192,27.44
2989,Manhattan,Cooperative,D4-ELEVATOR,36,11.35,6.17,211230,33.33
2990,Manhattan,Cooperative,D4-ELEVATOR,41,11.5,5.48,379766,38.04
2991,Manhattan,Cooperative,D4-ELEVATOR,42,11.5,5.48,318759,38.62
2992,Manhattan,Cooperative,D4-ELEVATOR,48,9.78,4.12,350366,33.52
2993,Manhattan,Cooperative,D4-ELEVATOR,36,12.35,6.05,280816,39.91
2994,Manhattan,Cooperative,D4-ELEVATOR,54,11.62,6.22,331323,34.6
2995,Manhattan,Cooperative,C6-WALK-UP,48,11.37,5.96,220295,34.8
2996,Manhattan,Cooperative,D4-ELEVATOR,43,15.68,6.89,525686,60.15
2997,Manhattan,Cooperative,D4-ELEVATOR,54,11.97,6.71,430289,33.52
2998,Manhattan,Cooperative,D4-ELEVATOR,54,12.05,5.95,499004,37.11
2999,Manhattan,Cooperative,D4-ELEVATOR,36,15.56,6.66,429852,60.95
3000,Manhattan,Cooperative,D4-ELEVATOR,37,15.56,6.66,448667,60.96
3001,Manhattan,Cooperative,D4-ELEVATOR,78,13.92,7.43,508978,37.03
3002,Manhattan,Cooperative,D4-ELEVATOR,50,14.63,5.77,421558,59.42
3003,Manhattan,Cooperative,D4-ELEVATOR,79,9.3,4.22,389259,30.25
3004,Manhattan,Cooperative,C6-WALK-UP,40,12.0,7.02,162049,31.71
3005,Manhattan,Cooperative,C6-WALK-UP,15,10.25,5.77,62832,27.88
3006,Manhattan,Cooperative,C6-WALK-UP,28,10.25,5.77,61376,27.88
3007,Manhattan,Cooperative,C6-WALK-UP,44,11.29,6.02,212402,33.92
3008,Manhattan,Cooperative,D4-ELEVATOR,78,12.38,6.3,433534,38.5
3009,Manhattan,Cooperative,C6-WALK-UP,21,10.25,5.77,78915,27.87
3010,Manhattan,Cooperative,C6-WALK-UP,36,11.96,6.81,147831,32.82
3011,Manhattan,Cooperative,C6-WALK-UP,15,8.63,4.6,52531,24.09
3012,Manhattan,Cooperative,C6-WALK-UP,15,8.63,4.6,52531,24.09
3013,Manhattan,Cooperative,D4-ELEVATOR,169,11.62,6.57,1016091,32.35
3014,Manhattan,Cooperative,D4-ELEVATOR,204,11.89,7.16,1053437,30.18
3015,Manhattan,Cooperative,D4-ELEVATOR,205,11.62,6.57,1127160,32.35
3016,Manhattan,Cooperative,D4-ELEVATOR,218,11.89,7.16,1283665,30.18
3017,Manhattan,Cooperative,D4-ELEVATOR,114,13.46,5.68,694754,51.53
3018,Manhattan,Cooperative,D4-ELEVATOR,50,13.75,6.38,322342,48.63
3019,Manhattan,Cooperative,D4-ELEVATOR,35,13.7,6.07,260244,50.4
3020,Manhattan,Cooperative,D4-ELEVATOR,60,12.12,5.75,375218,40.51
3021,Manhattan,Cooperative,C6-WALK-UP,62,11.08,6.14,236255,30.51
3022,Manhattan,Cooperative,C6-WALK-UP,21,14.19,7.41,124346,47.0
3023,Manhattan,Cooperative,C6-WALK-UP,20,13.49,7.37,126807,40.54
3024,Manhattan,Cooperative,C6-WALK-UP,38,14.04,7.39,316207,35.63
3025,Manhattan,Cooperative,D4-ELEVATOR,44,15.36,6.82,450759,58.62
3026,Manhattan,Cooperative,D4-ELEVATOR,60,15.65,6.26,533483,64.26
3027,Manhattan,Cooperative,D4-ELEVATOR,44,15.8,6.42,439152,64.12
3028,Manhattan,Cooperative,D4-ELEVATOR,42,15.82,7.06,381376,59.88
3029,Manhattan,Cooperative,D4-ELEVATOR,61,13.86,6.29,481452,49.89
3030,Manhattan,Cooperative,D4-ELEVATOR,66,15.53,6.74,534256,60.22
3031,Manhattan,Cooperative,D4-ELEVATOR,192,12.26,5.32,1460648,44.03
3032,Manhattan,Cooperative,D4-ELEVATOR,61,14.15,6.69,420879,51.74
3033,Manhattan,Cooperative,D4-ELEVATOR,86,14.78,7.13,461716,52.77
3034,Manhattan,Cooperative,D4-ELEVATOR,594,13.19,5.96,6435668,48.06
3035,Manhattan,Cooperative,D4-ELEVATOR,72,14.21,6.05,597899,56.57
3036,Manhattan,Cooperative,D4-ELEVATOR,39,13.17,5.15,318458,53.31
3037,Manhattan,Cooperative,D4-ELEVATOR,60,13.92,6.22,405143,50.71
3038,Manhattan,Cooperative,D4-ELEVATOR,353,15.24,6.34,4806000,61.14
3039,Manhattan,Cooperative,C6-WALK-UP,49,12.38,5.9,221616,41.02
3040,Manhattan,Cooperative,D4-ELEVATOR,33,15.42,8.23,210825,49.31
3041,Manhattan,Cooperative,D4-ELEVATOR,18,15.33,8.51,118914,46.8
3042,Manhattan,Cooperative,D4-ELEVATOR,62,15.84,6.91,518012,61.03
3043,Manhattan,Cooperative,D4-ELEVATOR,217,13.85,6.41,1625908,44.55
3044,Manhattan,Cooperative,D4-ELEVATOR,76,13.21,5.28,729306,52.7
3045,Manhattan,Cooperative,D4-ELEVATOR,77,14.07,5.38,710677,60.31
3046,Manhattan,Cooperative,D4-ELEVATOR,112,13.25,4.6,1017915,55.8
3047,Manhattan,Cooperative,D4-ELEVATOR,84,15.44,8.17,412107,49.87
3048,Manhattan,Cooperative,C6-WALK-UP,29,12.15,6.26,169484,37.67
3049,Manhattan,Cooperative,D4-ELEVATOR,79,14.78,7.24,696922,52.01
3050,Manhattan,Cooperative,D4-ELEVATOR,51,13.58,6.43,308852,47.3
3051,Manhattan,Cooperative,D4-ELEVATOR,75,14.14,6.25,646262,54.73
3052,Manhattan,Cooperative,D4-ELEVATOR,58,14.09,6.63,563394,51.76
3053,Manhattan,Cooperative,C6-WALK-UP,60,15.08,6.79,419930,57.01
3054,Manhattan,Cooperative,D4-ELEVATOR,43,13.81,5.86,359515,52.43
3055,Manhattan,Cooperative,D4-ELEVATOR,56,14.09,6.63,416089,51.76
3056,Manhattan,Cooperative,D4-ELEVATOR,62,14.12,6.44,514483,53.28
3057,Manhattan,Cooperative,D4-ELEVATOR,84,13.3,5.41,635934,52.38
3058,Manhattan,Cooperative,D4-ELEVATOR,60,14.1,6.17,461859,55.03
3059,Manhattan,Cooperative,D4-ELEVATOR,105,13.67,5.34,842229,55.05
3060,Manhattan,Cooperative,D4-ELEVATOR,118,13.5,4.8,1165104,57.6
3061,Manhattan,Cooperative,D4-ELEVATOR,172,14.22,5.33,1266558,55.82
3062,Manhattan,Cooperative,D4-ELEVATOR,106,13.8,5.29,702382,56.13
3063,Manhattan,Cooperative,D4-ELEVATOR,30,14.55,7.72,146545,47.21
3064,Manhattan,Cooperative,D4-ELEVATOR,150,14.22,5.33,1592466,61.63
3065,Manhattan,Cooperative,D4-ELEVATOR,84,14.76,5.64,931608,62.92
3066,Manhattan,Cooperative,D4-ELEVATOR,350,12.45,5.79,2104606,44.56
3067,Manhattan,Cooperative,D4-ELEVATOR,74,15.01,7.48,587092,51.82
3068,Manhattan,Cooperative,D4-ELEVATOR,318,10.57,6.43,1910507,25.7
3069,Manhattan,Cooperative,D4-ELEVATOR,180,16.62,7.1,1984110,47.72
3070,Manhattan,Cooperative,D4-ELEVATOR,102,14.76,7.42,764681,50.63
3071,Manhattan,Cooperative,D4-ELEVATOR,88,13.26,6.46,509551,45.16
3072,Manhattan,Cooperative,D4-ELEVATOR,63,13.33,5.28,506860,48.04
3073,Manhattan,Cooperative,D4-ELEVATOR,43,14.44,7.15,325454,50.44
3074,Manhattan,Cooperative,D4-ELEVATOR,42,14.15,6.61,394583,52.3
3075,Manhattan,Cooperative,C6-WALK-UP,27,10.51,5.53,86702,30.96
3076,Manhattan,Cooperative,C6-WALK-UP,41,13.03,6.18,295886,44.57
3077,Manhattan,Cooperative,D4-ELEVATOR,61,13.53,5.46,512663,47.96
3078,Manhattan,Cooperative,D4-ELEVATOR,55,13.52,6.35,446426,47.46
3079,Manhattan,Cooperative,C6-WALK-UP,20,14.72,8.33,118342,44.11
3080,Manhattan,Cooperative,D4-ELEVATOR,78,12.31,5.78,570722,41.38
3081,Manhattan,Cooperative,D4-ELEVATOR,78,12.31,5.78,570722,41.38
3082,Manhattan,Cooperative,D4-ELEVATOR,78,12.31,5.78,570722,41.38
3083,Manhattan,Cooperative,D4-ELEVATOR,85,12.31,5.78,559882,41.39
3084,Manhattan,Cooperative,D4-ELEVATOR,78,12.31,5.78,570722,41.38
3085,Manhattan,Cooperative,D4-ELEVATOR,69,15.01,7.32,477626,48.0
3086,Manhattan,Cooperative,D4-ELEVATOR,46,15.01,7.32,316644,52.92
3087,Manhattan,Cooperative,D4-ELEVATOR,49,15.06,7.28,332696,53.53
3088,Manhattan,Cooperative,D4-ELEVATOR,49,14.16,6.37,344964,54.02
3089,Manhattan,Cooperative,D4-ELEVATOR,75,14.45,7.6,481178,47.41
3090,Manhattan,Cooperative,D4-ELEVATOR,72,12.45,4.76,822699,51.58
3091,Manhattan,Cooperative,D4-ELEVATOR,50,14.45,6.46,379342,55.29
3092,Manhattan,Cooperative,D4-ELEVATOR,48,14.85,6.76,381686,55.77
3093,Manhattan,Cooperative,D4-ELEVATOR,67,14.61,7.02,484272,47.93
3094,Manhattan,Cooperative,D4-ELEVATOR,51,15.19,5.65,478116,65.57
3095,Manhattan,Cooperative,D4-ELEVATOR,42,13.87,5.63,476240,54.31
3096,Manhattan,Cooperative,D4-ELEVATOR,74,13.88,5.35,736583,56.21
3097,Manhattan,Cooperative,D4-ELEVATOR,62,14.39,5.31,603421,62.85
3098,Manhattan,Cooperative,D4-ELEVATOR,72,13.06,5.95,584954,47.36
3099,Manhattan,Cooperative,D4-ELEVATOR,37,14.17,6.53,237910,52.99
3100,Manhattan,Cooperative,D4-ELEVATOR,50,14.77,7.57,277236,49.68
3101,Manhattan,Cooperative,D4-ELEVATOR,50,14.61,7.02,419697,52.43
3102,Manhattan,Cooperative,D4-ELEVATOR,50,15.19,5.65,477630,55.81
3103,Manhattan,Cooperative,D4-ELEVATOR,76,14.77,7.57,562536,48.01
3104,Queens,Cooperative,D4-ELEVATOR,536,14.69,7.7,5064080,48.25
3105,Queens,Cooperative,D4-ELEVATOR,158,8.56,4.66,606800,23.29
3106,Queens,Cooperative,D4-ELEVATOR,426,13.57,5.95,2985531,38.18
3107,Queens,Cooperative,D4-ELEVATOR,73,7.38,5.74,105629,9.73
3108,Queens,Cooperative,D4-ELEVATOR,42,14.06,7.03,298592,37.55
3109,Queens,Cooperative,D4-ELEVATOR,43,14.52,7.27,330382,37.41
3110,Queens,Cooperative,D4-ELEVATOR,92,14.84,6.39,675122,44.47
3111,Queens,Cooperative,D4-ELEVATOR,176,13.54,4.95,1209128,44.39
3112,Queens,Cooperative,D4-ELEVATOR,69,13.54,4.95,503803,43.89
3113,Queens,Cooperative,D4-ELEVATOR,320,12.79,5.87,1730000,45.32
3114,Queens,Cooperative,D4-ELEVATOR,52,8.27,4.54,154731,21.95
3115,Queens,Cooperative,D4-ELEVATOR,71,14.06,7.03,462209,44.5
3116,Queens,Cooperative,D4-ELEVATOR,73,14.06,7.03,482961,45.31
3117,Queens,Cooperative,D4-ELEVATOR,94,14.55,10.17,309185,30.27
3118,Queens,Cooperative,D4-ELEVATOR,61,14.1,6.55,444892,45.36
3119,Queens,Cooperative,D4-ELEVATOR,60,12.79,5.87,455475,45.29
3120,Queens,Cooperative,D4-ELEVATOR,48,12.66,6.41,220875,41.82
3121,Queens,Cooperative,D4-ELEVATOR,60,12.79,5.87,451737,45.33
3122,Queens,Cooperative,C6-WALK-UP,23,12.75,5.64,135003,44.99
3123,Queens,Cooperative,C6-WALK-UP,23,14.92,7.03,149783,44.99
3124,Queens,Cooperative,D4-ELEVATOR,93,13.8,5.91,591939,52.04
3125,Queens,Cooperative,D4-ELEVATOR,54,12.76,4.51,440550,46.76
3126,Queens,Cooperative,D4-ELEVATOR,493,14.06,7.03,2879052,46.22
3127,Queens,Cooperative,D4-ELEVATOR,262,14.06,7.03,1652050,46.22
3128,Queens,Cooperative,D4-ELEVATOR,96,13.46,5.95,560726,46.7
3129,Queens,Cooperative,D4-ELEVATOR,94,13.46,5.95,560726,46.7
3130,Queens,Cooperative,D4-ELEVATOR,83,13.46,5.95,593290,46.78
3131,Queens,Cooperative,D4-ELEVATOR,52,12.79,5.87,370220,46.22
3132,Queens,Cooperative,C6-WALK-UP,124,14.06,7.03,855650,46.22
3133,Queens,Cooperative,D4-ELEVATOR,48,7.54,3.56,168044,23.56
3134,Queens,Cooperative,D4-ELEVATOR,54,14.06,7.03,337440,46.23
3135,Queens,Cooperative,D4-ELEVATOR,60,14.22,8.52,283062,39.51
3136,Queens,Cooperative,C6-WALK-UP,17,14.06,7.03,98420,46.21
3137,Queens,Cooperative,D4-ELEVATOR,51,14.22,8.52,169433,39.5
3138,Queens,Cooperative,D4-ELEVATOR,51,15.14,8.14,208278,46.58
3139,Queens,Cooperative,D4-ELEVATOR,51,14.06,7.03,273214,46.21
3140,Queens,Cooperative,D4-ELEVATOR,61,14.97,8.38,309730,45.38
3141,Queens,Cooperative,D4-ELEVATOR,364,14.06,7.03,3122129,46.22
3142,Queens,Cooperative,D4-ELEVATOR,48,14.25,6.18,231641,46.75
3143,Queens,Cooperative,D4-ELEVATOR,727,14.29,6.68,4290518,36.09
3144,Queens,Cooperative,C6-WALK-UP,59,13.97,7.17,225339,44.75
3145,Queens,Cooperative,D4-ELEVATOR,116,14.15,6.33,721395,46.62
3146,Queens,Cooperative,D4-ELEVATOR,26,14.3,7.06,121632,48.57
3147,Queens,Cooperative,D4-ELEVATOR,121,14.1,5.74,836000,46.75
3148,Queens,Cooperative,D4-ELEVATOR,110,8.07,5.06,241827,17.74
3149,Queens,Cooperative,D4-ELEVATOR,193,14.54,7.43,1548418,49.15
3150,Queens,Cooperative,D4-ELEVATOR,970,14.65,9.23,4027927,37.15
3151,Queens,Cooperative,D4-ELEVATOR,59,14.68,6.34,486055,35.48
3152,Queens,Cooperative,D4-ELEVATOR,59,14.68,6.34,486055,35.48
3153,Queens,Cooperative,C6-WALK-UP,46,16.89,7.6,367864,67.17
3154,Queens,Cooperative,D4-ELEVATOR,130,14.74,5.96,1153797,58.59
3155,Queens,Cooperative,D4-ELEVATOR,83,11.99,3.86,659571,51.78
3156,Queens,Cooperative,C6-WALK-UP,49,14.03,7.23,255170,38.99
3157,Queens,Cooperative,D4-ELEVATOR,145,9.05,4.42,601292,27.55
3158,Queens,Cooperative,C6-WALK-UP,44,14.56,6.58,246423,55.15
3159,Queens,Cooperative,D4-ELEVATOR,147,11.98,5.46,947871,38.97
3160,Queens,Cooperative,D4-ELEVATOR,60,17.43,11.8,235379,38.94
3161,Queens,Cooperative,D4-ELEVATOR,54,14.52,7.27,288985,38.91
3162,Queens,Cooperative,C6-WALK-UP,67,14.84,6.33,784026,46.68
3163,Queens,Cooperative,D4-ELEVATOR,219,8.78,6.42,488977,14.09
3164,Queens,Cooperative,D4-ELEVATOR,442,13.32,7.35,2638316,35.59
3165,Queens,Cooperative,D4-ELEVATOR,224,13.29,6.15,1486919,38.61
3166,Queens,Cooperative,D4-ELEVATOR,96,12.43,4.23,871725,37.04
3167,Queens,Cooperative,D4-ELEVATOR,114,12.46,5.69,1307917,35.87
3168,Queens,Cooperative,D4-ELEVATOR,270,13.63,7.39,1162512,35.72
3169,Queens,Cooperative,D4-ELEVATOR,75,14.62,6.04,512707,35.71
3170,Queens,Cooperative,D4-ELEVATOR,161,13.63,7.39,842837,35.83
3171,Queens,Cooperative,D4-ELEVATOR,109,14.76,6.5,792960,44.57
3172,Queens,Cooperative,D4-ELEVATOR,96,14.76,6.5,751247,47.89
3173,Queens,Cooperative,D4-ELEVATOR,162,14.76,6.5,941640,47.96
3174,Queens,Cooperative,D4-ELEVATOR,97,13.63,7.39,703623,35.9
3175,Queens,Cooperative,D4-ELEVATOR,60,14.46,6.41,523250,31.31
3176,Queens,Cooperative,D4-ELEVATOR,150,11.46,6.53,813450,31.65
3177,Queens,Cooperative,D4-ELEVATOR,47,14.29,7.11,366151,35.81
3178,Queens,Cooperative,D4-ELEVATOR,11,8.34,4.61,62664,21.96
3179,Queens,Cooperative,D4-ELEVATOR,11,8.34,4.61,53171,21.96
3180,Queens,Cooperative,D4-ELEVATOR,11,8.5,4.71,58859,22.67
3181,Queens,Cooperative,D4-ELEVATOR,11,8.5,4.71,63672,22.68
3182,Queens,Cooperative,D4-ELEVATOR,11,8.5,4.71,54027,22.66
3183,Queens,Cooperative,D4-ELEVATOR,11,8.5,4.71,62080,22.65
3184,Queens,Cooperative,D4-ELEVATOR,11,8.5,4.71,57248,22.64
3185,Queens,Cooperative,D4-ELEVATOR,83,14.29,7.11,698326,35.74
3186,Queens,Cooperative,D4-ELEVATOR,48,13.56,6.13,397520,35.77
3187,Queens,Cooperative,D4-ELEVATOR,54,11.49,5.39,353922,35.64
3188,Queens,Cooperative,D4-ELEVATOR,210,13.6,6.56,1213428,46.56
3189,Queens,Cooperative,D4-ELEVATOR,114,11.43,5.87,581020,35.68
3190,Queens,Cooperative,C6-WALK-UP,11,13.65,6.37,97341,48.09
3191,Queens,Cooperative,C6-WALK-UP,11,10.76,5.13,84484,31.39
3192,Queens,Cooperative,D4-ELEVATOR,53,11.65,6.13,362266,35.35
3193,Queens,Cooperative,C6-WALK-UP,16,13.65,6.37,133078,46.77
3194,Queens,Cooperative,C6-WALK-UP,15,13.65,6.37,120120,46.73
3195,Queens,Cooperative,C6-WALK-UP,15,13.65,6.37,119574,46.76
3196,Queens,Cooperative,C6-WALK-UP,15,13.36,7.44,97236,39.27
3197,Queens,Cooperative,C6-WALK-UP,15,13.65,6.37,119574,46.76
3198,Queens,Cooperative,C6-WALK-UP,15,13.65,6.37,119574,46.76
3199,Queens,Cooperative,C6-WALK-UP,15,13.65,6.37,94261,48.12
3200,Queens,Cooperative,C6-WALK-UP,15,13.65,6.37,94261,48.12
3201,Queens,Cooperative,C6-WALK-UP,11,13.65,6.37,105909,48.12
3202,Queens,Cooperative,C6-WALK-UP,11,13.65,6.37,97698,46.72
3203,Queens,Cooperative,C6-WALK-UP,15,13.65,6.37,91874,46.75
3204,Queens,Cooperative,C6-WALK-UP,15,13.65,6.37,91874,46.75
3205,Queens,Cooperative,C6-WALK-UP,20,10.76,5.13,106886,31.34
3206,Queens,Cooperative,D4-ELEVATOR,64,11.93,6.32,384010,35.7
3207,Queens,Cooperative,D4-ELEVATOR,159,14.96,6.95,1286190,55.18
3208,Queens,Cooperative,D4-ELEVATOR,44,15.91,8.53,419479,46.83
3209,Queens,Cooperative,D4-ELEVATOR,83,11.68,6.34,360279,34.16
3210,Queens,Cooperative,C6-WALK-UP,27,16.22,7.66,177620,55.66
3211,Queens,Cooperative,C6-WALK-UP,43,11.84,6.39,144954,34.81
3212,Queens,Cooperative,D4-ELEVATOR,89,9.54,4.06,470636,32.55
3213,Queens,Cooperative,D4-ELEVATOR,396,12.1,5.48,2642730,35.82
